text	score	binary	multilevel	id
Cantet beautifully illuminates what it means sometimes to be inside looking out , and at other times outside looking in .	0.680560	1	3	2677
K-19 : The Widowmaker is a great yarn .	0.763890	1	3	2678
It 's as raw and action-packed an experience as a ringside seat at a tough-man contest .	0.819440	1	4	2679
Evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes .	0.291670	0	1	2680
A brilliant gag at the expense of those who paid for it and those who pay to see it .	0.569440	1	2	2681
Visually striking and viscerally repellent .	0.763890	1	3	2682
Overcomes its visual hideousness with a sharp script and strong performances .	0.708330	1	3	2683
Astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .	0.875000	1	4	2684
Beautifully crafted and cooly unsettling ... recreates the atmosphere of the crime expertly .	0.888890	1	4	2685
The year 2002 has conjured up more coming-of-age stories than seem possible , but Take Care of My Cat emerges as the very best of them .	0.819440	1	4	2686
Although it does n't always hang together -- violence and whimsy do n't combine easily -- `` Cherish '' certainly is n't dull .	0.555560	1	2	2687
The sight of the spaceship on the launching pad is duly impressive in IMAX dimensions , as are shots of the astronauts floating in their cabins .	0.777780	1	3	2688
Time is a beautiful film to watch , an interesting and at times captivating take on loss and loneliness .	0.902780	1	4	2689
An intriguing look at the French film industry during the German occupation ; its most delightful moments come when various characters express their quirky inner selves .	0.791670	1	3	2690
A fine documentary can be distinguished from a mediocre one by the better film 's ability to make its subject interesting to those who are n't part of its supposed target audience .	0.777780	1	3	2691
Judging by those standards , ` Scratch ' is a pretty decent little documentary .	0.722220	1	3	2692
Fubar is very funny , but not always in a laugh-out-loud way .	0.486110	0	2	2693
A diverse and astonishingly articulate cast of Palestinian and Israeli children .	0.666670	1	3	2694
Slight but enjoyable documentary .	0.638890	1	3	2695
` The film is stark , straightforward and deadly ... an unnatural calm that 's occasionally shaken by ... blasts of rage , and later , violent jealousy . '	0.500000	0	2	2696
Call this The Full Monty on ice , the underdog sports team formula redux .	0.416670	0	2	2697
Unfolds in a low-key , organic way that encourages you to accept it as life and go with its flow .	0.750000	1	3	2698
A beguiling evocation of the quality that keeps Dickens evergreen : the exuberant openness with which he expresses our most basic emotions .	0.791670	1	3	2699
The heat of the moment prevails .	0.611110	1	3	2700
It cooks Conduct in a low , smoky and inviting sizzle .	0.638890	1	3	2701
A riveting story well told .	0.833330	1	4	2702
Denis forges out of the theories of class - based rage and sisterly obsession a razor-sided tuning fork that rings with cultural , sexual and social discord .	0.444440	0	2	2703
A compelling pre-WWII drama with vivid characters and a warm , moving message .	0.847220	1	4	2704
The stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .	0.763890	1	3	2705
Pretty good little movie .	0.694440	1	3	2706
By turns touching , raucously amusing , uncomfortable , and , yes , even sexy , Never Again is a welcome and heartwarming addition to the romantic comedy genre .	0.819440	1	4	2707
If you have n't seen the film lately , you may be surprised at the variety of tones in Spielberg 's work .	0.611110	1	3	2708
Much of it is funny , but there are also some startling , surrealistic moments ...	0.763890	1	3	2709
( The digital effects ) reminded me of Terry Gilliam 's rudimentary old Monty Python cartoons , in which he would cut out figures from drawings and photographs and paste them together .	0.430560	0	2	2710
An entertaining mix of period drama and flat-out farce that should please history fans .	0.763890	1	3	2711
Canada 's arctic light shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the Inuit people .	0.638890	1	3	2712
The fluid motion is astounding on any number of levels -- including the physical demands made on Büttner -- and it implies in its wake the intractable , irreversible flow of history .	0.652780	1	3	2713
Alternately hilarious and sad , aggravating and soulful , scathing and joyous .	0.750000	1	3	2714
It 's a masterpeice .	0.986110	1	4	2715
The film 's messages of tolerance and diversity are n't particularly original , but one ca n't help but be drawn in by the sympathetic characters .	0.638890	1	3	2716
Though it lacks the utter authority of a genre gem , there 's a certain robustness to this engaging mix of love and bloodletting .	0.736110	1	3	2717
A conventional , but well-crafted film about a historic legal battle in Ireland over a man 's right to raise his own children .	0.722220	1	3	2718
Yes , it 's as good as you remember .	0.736110	1	3	2719
In fact , even better .	0.763890	1	3	2720
Hartley adds enough quirky and satirical touches in the screenplay to keep the film entertaining .	0.805560	1	4	2721
An uncomfortable movie , suffocating and sometimes almost senseless , The Grey Zone does have a center , though a morbid one .	0.166670	0	0	2722
This is a harrowing movie about how parents know where all the buttons are , and how to push them .	0.583330	1	2	2723
A stirring road movie .	0.763890	1	3	2724
One of the best films I have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense .	0.763890	1	3	2725
Insanely hilarious !	0.958330	1	4	2726
I have n't laughed that hard in years !	0.930560	1	4	2727
Anyone who 's ever suffered under a martinet music instructor has no doubt fantasized about what an unhappy , repressed and twisted personal life their tormentor deserved .	0.513890	1	2	2728
These people are really going to love The Piano Teacher .	0.847220	1	4	2729
It 's a tour de force , written and directed so quietly that it 's implosion rather than explosion you fear .	0.513890	1	2	2730
It may not be history -- but then again , what if it is ?	0.527780	1	2	2731
-- but it makes for one of the most purely enjoyable and satisfying evenings at the movies I 've had in a while .	0.819440	1	4	2732
If `` Lilo & Stitch '' is n't the most edgy piece of Disney animation to hit the silver screen , then this first film to use a watercolor background since `` Dumbo '' certainly ranks as the most original in years .	0.847220	1	4	2733
This may be Dover Kosashvili 's feature directing debut , but it looks an awful lot like life -- gritty , awkward and ironic .	0.513890	1	2	2734
This ready-made midnight movie probably wo n't stand the cold light of day , but under the right conditions , it 's goofy ( if not entirely wholesome ) fun .	0.750000	1	3	2735
See Scratch for the history , see Scratch for the music , see Scratch for a lesson in scratching , but , most of all , see it for the passion .	0.861110	1	4	2736
... `` Bowling for Columbine '' remains a disquieting and thought-provoking film ...	0.777780	1	3	2737
Even though it is infused with the sensibility of a video director , it does n't make for completely empty entertainment	0.444440	0	2	2738
But even with the two-wrongs-make-a-right chemistry between Jolie and Burns ... this otherwise appealing picture loses its soul to Screenwriting For Dummies conformity .	0.486110	0	2	2739
Talk to Her is so darned assured , we have absolutely no idea who the main characters are until the film is well under way -- and yet it 's hard to stop watching .	0.694440	1	3	2740
Star\/producer Salma Hayek and director Julie Taymor have infused Frida with a visual style unique and inherent to the titular character 's paintings and in the process created a masterful work of art of their own .	0.750000	1	3	2741
A truly wonderful tale combined with stunning animation .	0.888890	1	4	2742
A low-key labor of love that strikes a very resonant chord .	0.791670	1	3	2743
An average kid-empowerment fantasy with slightly above-average brains .	0.763890	1	3	2744
Confessions is n't always coherent , but it 's sharply comic and surprisingly touching , so hold the gong .	0.611110	1	3	2745
While Guzmán frustratingly refuses to give Pinochet 's crimes a political context , his distance from the material is mostly admirable .	0.541670	1	2	2746
... a story , an old and scary one , about the monsters we make , and the vengeance they take .	0.500000	0	2	2747
A sentimental but entirely irresistible portrait of three aging sisters .	0.722220	1	3	2748
White Oleander may leave you rolling your eyes in the dark , but that does n't mean you wo n't like looking at it .	0.611110	1	3	2749
In painting an unabashedly romantic picture of a nation whose songs spring directly from the lives of the people , the movie exalts the Marxian dream of honest working folk , with little to show for their labor , living harmoniously , joined in song .	0.750000	1	3	2750
The most brilliant work in this genre since the 1984 uncut version of Sergio Leone 's flawed but staggering Once Upon a Time in America .	0.930560	1	4	2751
It looks closely , insightfully at fragile , complex relationships .	0.666670	1	3	2752
Not a bad choice here , assuming that ... the air-conditioning in the theater is working properly .	0.472220	0	2	2753
A fine effort , an interesting topic , some intriguing characters and a sad ending .	0.680560	1	3	2754
Certainly the big finish was n't something Galinsky and Hawley could have planned for ... but part of being a good documentarian is being there when the rope snaps .	0.750000	1	3	2755
It must be the end of the world : the best film so far this year is a franchise sequel starring Wesley Snipes .	0.666670	1	3	2756
There are moments of hilarity to be had .	0.777780	1	3	2757
A hypnotic portrait of this sad , compulsive life .	0.611110	1	3	2758
( While The Last Metro ) was more melodramatic , confined to a single theater company and its strategies and deceptions , while Tavernier is more concerned with the entire period of history .	0.611110	1	3	2759
One of the best films of the year with its exquisite acting , inventive screenplay , mesmerizing music , and many inimitable scenes of tenderness , loss , discontent , and yearning .	0.986110	1	4	2760
Return to Never Land is reliable , standard Disney animated fare , with enough creative energy and wit to entertain all ages .	0.833330	1	4	2761
Michael Moore 's latest documentary about America 's thirst for violence is his best film yet ...	0.861110	1	4	2762
Suffice to say that after seeing this movie in IMAX form , you 'll be more acquainted with the tiniest details of Tom Hanks ' face than his wife is .	0.527780	1	2	2763
Like a Tarantino movie with heart , Alias Betty is richly detailed , deftly executed and utterly absorbing .	0.777780	1	3	2764
Marvelously entertaining and deliriously joyous documentary .	0.944440	1	4	2765
A brisk , reverent , and subtly different sequel .	0.847220	1	4	2766
A movie I loved on first sight and , even more important , love in remembrance .	0.875000	1	4	2767
Deserves a place of honor next to Nanook as a landmark in film history .	0.777780	1	3	2768
Murderous Maids pulls no punches in its depiction of the lives of the Papin sister and the events that led to their notorious rise to infamy ...	0.666670	1	3	2769
This is an undeniably intriguing film from an adventurous young talent who finds his inspiration on the fringes of the American underground .	0.861110	1	4	2770
The Sweetest Thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways .	0.444440	0	2	2771
But it does have one saving grace .	0.750000	1	3	2772
A lot of its gags and observations reflect a woman 's point-of-view .	0.583330	1	2	2773
This is lightweight filmmaking , to be sure , but it 's pleasant enough -- and oozing with attractive men .	0.680560	1	3	2774
At its most basic , this cartoon adventure is that wind-in-the-hair exhilarating .	0.777780	1	3	2775
Fans of critics ' darling band Wilco will marvel at the sometimes murky , always brooding look of I Am Trying to Break Your Heart .	0.666670	1	3	2776
The film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .	0.736110	1	3	2777
( Gosling 's ) combination of explosive physical energy and convincing intelligence helps create a complex , unpredictable character .	0.777780	1	3	2778
Confounding because it solemnly advances a daringly preposterous thesis .	0.444440	0	2	2779
Acting can not be acted .	0.486110	0	2	2780
Fulford-Wierzbicki ... deftly captures the wise-beyond-her-years teen .	0.638890	1	3	2781
A wild ride juiced with enough energy and excitement for at least three films .	0.722220	1	3	2782
It 's a cool event for the whole family .	0.805560	1	4	2783
Maybe not a classic , but a movie the kids will want to see over and over again .	0.819440	1	4	2784
The movie is not as terrible as the synergistic impulse that created it .	0.333330	0	1	2785
A typically observant , carefully nuanced and intimate French coming-of-age film that is an encouraging debut feature but has a needlessly downbeat ending that is too heavy for all that has preceded it .	0.597220	1	2	2786
Less an examination of neo-Nazism than a probe into the nature of faith itself .	0.694440	1	3	2787
A moving and weighty depiction of one family 's attempts to heal after the death of a child .	0.722220	1	3	2788
I do n't think most of the people who loved the 1989 Paradiso will prefer this new version .	0.319440	0	1	2789
But I do .	0.500000	0	2	2790
A zinger-filled crowd-pleaser that open-minded Elvis fans ( but by no means all ) will have fun with .	0.847220	1	4	2791
Diggs and Lathan are among the chief reasons Brown Sugar is such a sweet and sexy film .	0.861110	1	4	2792
Entirely suspenseful , extremely well-paced and ultimately ... dare I say , entertaining !	0.875000	1	4	2793
The riveting performances by the incredibly flexible cast make Love a joy to behold .	0.888890	1	4	2794
Terrific as Nadia , a Russian mail-order bride who comes to America speaking not a word of English , it 's Kidman who holds the film together with a supremely kittenish performance that gradually accumulates more layers .	0.791670	1	3	2795
With an unflappable air of decadent urbanity , Everett remains a perfect Wildean actor , and a relaxed Firth displays impeccable comic skill .	0.902780	1	4	2796
The re-release of Ron Howard 's Apollo 13 in the IMAX format proves absolutely that really , really , really good things can come in enormous packages .	0.625000	1	3	2797
Very well written and directed with brutal honesty and respect for its audience .	0.819440	1	4	2798
Wonderful fencing scenes and an exciting plot make this an eminently engrossing film .	0.736110	1	3	2799
It 's pretty linear and only makeup-deep , but Bogdanovich ties it together with efficiency and an affection for the period .	0.666670	1	3	2800
A surprisingly charming and even witty match for the best of Hollywood 's comic-book adaptations .	0.791670	1	3	2801
This is a superior horror flick .	0.805560	1	4	2802
Adaptation is simply brilliant .	0.972220	1	4	2803
Smart and alert , Thirteen Conversations About One Thing is a small gem .	0.694440	1	3	2804
The pleasure of Read My Lips is like seeing a series of perfect black pearls clicking together to form a string .	0.875000	1	4	2805
We 're drawn in by the dark luster .	0.638890	1	3	2806
A haunting tale of murder and mayhem .	0.680560	1	3	2807
I love the opening scenes of a wintry New York City in 1899 .	0.694440	1	3	2808
Cinematic poetry showcases the city 's old-world charm before machines change nearly everything .	0.652780	1	3	2809
It 's hard to imagine anyone managing to steal a movie not only from charismatic rising star Jake Gyllenhaal but also from accomplished Oscar winners Susan Sarandon , Dustin Hoffman and Holly Hunter , yet newcomer Ellen Pompeo pulls off the feat with aplomb .	0.819440	1	4	2810
One of the best rock documentaries ever .	0.888890	1	4	2811
Wilco is a phenomenal band with such an engrossing story that will capture the minds and hearts of many .	0.805560	1	4	2812
Ian Holm conquers France as an earthy Napoleon	0.625000	1	3	2813
Offers big , fat , dumb laughs that may make you hate yourself for giving in .	0.375000	0	1	2814
Ah , what the hell .	0.527780	1	2	2815
( Sports ) admirable energy , full-bodied characterizations and narrative urgency .	0.750000	1	3	2816
A portrait of an artist .	0.583330	1	2	2817
Directors Brett Morgen and Nanette Burstein have put together a bold biographical fantasia .	0.888890	1	4	2818
The subtitled costume drama is set in a remote African empire before cell phones , guns , and the internal combustion engine , but the politics that thump through it are as timely as tomorrow .	0.791670	1	3	2819
A tremendous piece of work .	0.930560	1	4	2820
A delightful , if minor , pastry of a movie .	0.805560	1	4	2821
While obviously aimed at kids , The Country Bears ... should keep parents amused with its low groan-to-guffaw ratio .	0.750000	1	3	2822
LaBute masterfully balances both Traditional or Modern stories together in a manner that one never overwhelms the other .	0.888890	1	4	2823
Something for everyone .	0.763890	1	3	2824
Irwin is so earnest that it 's hard to resist his pleas to spare wildlife and respect their environs .	0.833330	1	4	2825
There are far worse messages to teach a young audience , which will probably be perfectly happy with the sloppy slapstick comedy .	0.569440	1	2	2826
Leigh succeeds in delivering a dramatic slap in the face that 's simultaneously painful and refreshing .	0.750000	1	3	2827
Not about scares but a mood in which an ominous , pervasive , and unknown threat lurks just below the proceedings and adds an almost constant mindset of suspense .	0.611110	1	3	2828
` Film aficionados can not help but love Cinema Paradiso , whether the original version or new Director 's Cut . '	0.777780	1	3	2829
A fascinating glimpse into an insular world that gives the lie to many clichés and showcases a group of dedicated artists .	0.805560	1	4	2830
It 's one thing to read about or rail against the ongoing - and unprecedented - construction project going on over our heads .	0.333330	0	1	2831
It 's quite another to feel physically caught up in the process .	0.583330	1	2	2832
Contradicts everything we 've come to expect from movies nowadays .	0.638890	1	3	2833
Instead of simply handling conventional material in a conventional way , Secretary takes the most unexpected material and handles it in the most unexpected way .	0.722220	1	3	2834
Could I have been more geeked when I heard that Apollo 13 was going to be released in IMAX format ?	0.888890	1	4	2835
In a word : No. .	0.444440	0	2	2836
Murderous Maids has a lot going for it , not least the brilliant performances by Testud ... and Parmentier .	0.763890	1	3	2837
Filmmaker Stacy Peralta has a flashy editing style that does n't always jell with Sean Penn 's monotone narration , but he respects the material without sentimentalizing it .	0.722220	1	3	2838
There are a couple of things that elevate `` Glory '' above most of its ilk , most notably the mere presence of Duvall .	0.763890	1	3	2839
It 's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior -- yet I found it weirdly appealing .	0.736110	1	3	2840
( Rises ) above its oh-so-Hollywood rejiggering and its conventional direction to give the film a soul and an unabashed sense of good old-fashioned escapism .	0.750000	1	3	2841
A breezy blend of art , history , esoteric musings and philosophy .	0.763890	1	3	2842
Kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor .	0.805560	1	4	2843
Tsai Ming-liang 's ghosts are painfully aware of their not-being .	0.458330	0	2	2844
Leaping from one arresting image to another , Songs from the Second Floor has all the enjoyable randomness of a very lively dream and so manages to be compelling , amusing and unsettling at the same time .	0.819440	1	4	2845
Sean Penn , you owe Nicolas Cage an apology .	0.430560	0	2	2846
The performances are uniformly good .	0.638890	1	3	2847
She 's all-powerful , a voice for a pop-cyber culture that feeds on her Bjorkness .	0.750000	1	3	2848
It 's a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it .	0.847220	1	4	2849
For all its plot twists , and some of them verge on the bizarre as the film winds down , Blood Work is a strong , character-oriented piece .	0.597220	1	2	2850
The story line may be 127 years old , but El Crimen del Padre Amaro ... could n't be more timely in its despairing vision of corruption within the Catholic establishment .	0.611110	1	3	2851
This in-depth study of important developments of the computer industry should make it required viewing in university computer science departments for years to come .	0.750000	1	3	2852
It shows us a slice of life that 's very different from our own and yet instantly recognizable .	0.652780	1	3	2853
A wonderfully speculative character study that made up for its rather slow beginning by drawing me into the picture .	0.708330	1	3	2854
Has its share of arresting images .	0.555560	1	2	2855
Leave it to John Sayles to take on developers , the Chamber of Commerce , tourism , historical pageants , and commercialism all in the same movie ... without neglecting character development for even one minute .	0.875000	1	4	2856
Reign of Fire just might go down as one of the all-time great apocalypse movies .	0.694440	1	3	2857
A smart little indie .	0.722220	1	3	2858
Payne has created a beautiful canvas , and Nicholson proves once again that he 's the best brush in the business .	0.847220	1	4	2859
Try as you might to resist , if you 've got a place in your heart for Smokey Robinson , this movie will worm its way there .	0.777780	1	3	2860
A riveting profile of law enforcement , and a visceral , nasty journey into an urban Hades .	0.652780	1	3	2861
Director Douglas McGrath takes on Nickleby with all the halfhearted zeal of an 8th grade boy delving into required reading .	0.069444	0	0	2862
Stands as a document of what it felt like to be a New Yorker -- or , really , to be a human being -- in the weeks after 9\/11 .	0.625000	1	3	2863
I am not generally a huge fan of cartoons derived from TV shows , but Hey Arnold !	0.652780	1	3	2864
The Movie is clever , offbeat and even gritty enough to overcome my resistance .	0.736110	1	3	2865
With not a lot of help from the screenplay ( proficient , but singularly cursory ) , ( Testud ) acts with the feral intensity of the young Bette Davis .	0.583330	1	2	2866
It 's a film that 's destined to win a wide summer audience through word-of-mouth reviews and , not far down the line , to find a place among the studio 's animated classics .	0.777780	1	3	2867
Slow and ponderous , but Rohmer 's drama builds to an intense indoor drama about compassion , sacrifice , and Christian love in the face of political corruption .	0.625000	1	3	2868
If you 're not totally weirded - out by the notion of cinema as community-therapy spectacle , Quitting hits home with disorienting force .	0.444440	0	2	2869
Austin Powers for the most part is extremely funny , the first part making up for any flaws that come later .	0.694440	1	3	2870
While Tattoo borrows heavily from both Seven and The Silence of the Lambs , it manages to maintain both a level of sophisticated intrigue and human-scale characters that suck the audience in .	0.861110	1	4	2871
Cho continues her exploration of the outer limits of raunch with considerable brio .	0.708330	1	3	2872
Elvira fans could hardly ask for more .	0.819440	1	4	2873
A canny , derivative , wildly gruesome portrait of a London sociopath who 's the scariest of sadists .	0.444440	0	2	2874
The movie should be credited with remembering his victims .	0.597220	1	2	2875
Fast-paced and wonderfully edited , the film is extremely thorough .	0.875000	1	4	2876
A bracing , unblinking work that serves as a painful elegy and sobering cautionary tale .	0.777780	1	3	2877
Hashiguchi uses the situation to evoke a Japan bustling atop an undercurrent of loneliness and isolation .	0.666670	1	3	2878
As if trying to grab a lump of Play-Doh , the harder that Liman tries to squeeze his story , the more details slip out between his fingers .	0.263890	0	1	2879
My Big Fat Greek Wedding is not only the best date movie of the year , it 's also a -- dare I say it twice -- delightfully charming -- and totally American , I might add -- slice of comedic bliss .	0.944440	1	4	2880
Few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as Nesbitt 's Cooper looks when the bullets stop flying .	0.750000	1	3	2881
Another love story in 2002 's remarkable procession of sweeping pictures that have reinvigorated the romance genre .	0.777780	1	3	2882
It 's another retelling of Alexandre Dumas ' classic .	0.486110	0	2	2883
Why ?	0.388890	0	1	2884
Who knows , but it works under the direction of Kevin Reynolds .	0.680560	1	3	2885
( F ) rom the performances and the cinematography to the outstanding soundtrack and unconventional narrative , the film is blazingly alive and admirable on many levels .	0.777780	1	3	2886
Shiri is an action film that delivers on the promise of excitement , but it also has a strong dramatic and emotional pull that gradually sneaks up on the audience .	0.763890	1	3	2887
Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending .	0.888890	1	4	2888
After seeing ` Analyze That , ' I feel better already .	0.736110	1	3	2889
A penetrating , potent exploration of sanctimony , self-awareness , self-hatred and self-determination .	0.791670	1	3	2890
This is n't a retooled genre piece , the tale of a guy and his gun , but an amiably idiosyncratic work .	0.569440	1	2	2891
Overall , it 's a very entertaining , thought-provoking film with a simple message : God is love .	0.875000	1	4	2892
It may not be a great piece of filmmaking , but its power comes from its soul 's - eye view of how well-meaning patronizing masked a social injustice , at least as represented by this case .	0.736110	1	3	2893
Although mainstream American movies tend to exploit the familiar , every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel .	0.777780	1	3	2894
Jeong-Hyang Lee 's film is deceptively simple , deeply satisfying .	0.736110	1	3	2895
The film is a hoot , and is just as good , if not better than much of what 's on Saturday morning TV especially the pseudo-educational stuff we all ca n't stand .	0.833330	1	4	2896
George Clooney , in his first directorial effort , presents this utterly ridiculous shaggy dog story as one of the most creative , energetic and original comedies to hit the screen in years .	0.750000	1	3	2897
Even when it drags , we are forced to reflect that its visual imagination is breathtaking	0.694440	1	3	2898
Although commentary on Nachtwey is provided ... it 's the image that really tells the tale .	0.680560	1	3	2899
A life-size reenactment of those Jack Chick cartoon tracts that always ended with some hippie getting tossed into the lake of fire .	0.472220	0	2	2900
Grainy photography mars an otherwise delightful comedy of errors .	0.458330	0	2	2901
this film is not a love letter for the slain rappers , it 's a taunt - a call for justice for two crimes from which many of us have not yet recovered .	0.500000	0	2	2902
The film is impressive for the sights and sounds of the wondrous beats the world has to offer .	0.833330	1	4	2903
Daily struggles and simple pleasures usurp the preaching message so that , by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails .	0.833330	1	4	2904
... in no way original , or even all that memorable , but as downtown Saturday matinee brain candy , it does n't disappoint .	0.666670	1	3	2905
Clever and unflinching in its comic barbs , Slap Her is a small but rewarding comedy that takes aim at contemporary southern adolescence and never lets up .	0.833330	1	4	2906
Cremaster 3 is at once a tough pill to swallow and a minor miracle of self-expression .	0.638890	1	3	2907
Sex is one of those films that aims to confuse .	0.319440	0	1	2908
Compared to his series of spectacular belly flops both on and off the screen , RunTelDat is something of a triumph .	0.750000	1	3	2909
( Moore 's ) better at fingering problems than finding solutions .	0.291670	0	1	2910
But though he only scratches the surface , at least he provides a strong itch to explore more .	0.722220	1	3	2911
The powerful success of Read My Lips with such provocative material shows why , after only three films , director\/co-writer Jacques Audiard , though little known in this country , belongs in the very top rank of French filmmakers .	0.638890	1	3	2912
In his debut as a director , Washington has a sure hand .	0.833330	1	4	2913
His work with actors is particularly impressive .	0.805560	1	4	2914
A generous , inspiring film that unfolds with grace and humor and gradually becomes a testament to faith .	0.916670	1	4	2915
Delivers the sexy razzle-dazzle that everyone , especially movie musical fans , has been hoping for .	0.791670	1	3	2916
Vincent Gallo is right at home in this French shocker playing his usual bad boy weirdo role .	0.652780	1	3	2917
Fierce , glaring and unforgettable .	0.791670	1	3	2918
Cletis is playful but highly studied and dependent for its success on a patient viewer .	0.736110	1	3	2919
Like its predecessor , it 's no classic , but it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid-friendly outing should investigate .	0.513890	1	2	2920
Campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .	0.638890	1	3	2921
Either a fascinating study of the relationship between mothers and their children or a disturbing story about sociopaths and their marks .	0.500000	0	2	2922
... gripping and handsome execution , ( but ) there is n't much about K-19 that 's unique or memorable .	0.597220	1	2	2923
Effective in all its aspects , Margarita Happy Hour represents an auspicious feature debut for Chaiken .	0.861110	1	4	2924
The delicious trimmings ... arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a Scrooge or two .	0.902780	1	4	2925
Standing by Yourself is haunting ... ( It 's ) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction .	0.694440	1	3	2926
Not the best Herzog perhaps , but unmistakably Herzog .	0.513890	1	2	2927
Enjoyably fast-moving , hard-hitting documentary .	0.819440	1	4	2928
Rehearsals are frequently more fascinating than the results .	0.625000	1	3	2929
Last Dance , whatever its flaws , fulfills one facet of its mission in making me want to find out whether , in this case , that 's true .	0.416670	0	2	2930
The film 's constant mood of melancholy and its unhurried narrative are masterfully controlled .	0.819440	1	4	2931
But ... in trying to capture the novel 's deeper intimate resonances , the film has -- ironically - distanced us from the characters .	0.333330	0	1	2932
This is a stunning film , a one-of-a-kind tour de force .	0.888890	1	4	2933
( Cho 's face is ) an amazing slapstick instrument , creating a scrapbook of living mug shots .	0.777780	1	3	2934
It 's about as convincing as any other Arnie musclefest , but has a little too much resonance with real world events and ultimately comes off as insultingly simplistic .	0.277780	0	1	2935
While not quite a comedy , the film tackles its relatively serious subject with an open mind and considerable good cheer , and is never less than engaging .	0.583330	1	2	2936
An extremely funny , ultimately heartbreaking look at life in contemporary China .	0.694440	1	3	2937
Your response to its new sequel , Analyze That , may hinge on what you thought of the first film .	0.513890	1	2	2938
Davis is funny , charming and quirky in her feature film acting debut as Amy .	0.750000	1	3	2939
Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .	0.930560	1	4	2940
It 's a movie that accomplishes so much that one viewing ca n't possibly be enough .	0.736110	1	3	2941
A lively and engaging examination of how similar obsessions can dominate a family .	0.847220	1	4	2942
In the new release of Cinema Paradiso , the tale has turned from sweet to bittersweet , and when the tears come during that final , beautiful scene , they finally feel absolutely earned .	0.805560	1	4	2943
Faithful without being forceful , sad without being shrill , `` A Walk to Remember '' succeeds through sincerity .	0.791670	1	3	2944
The film is a masterpiece of nuance and characterization , marred only by an inexplicable , utterly distracting blunder at the very end .	0.486110	0	2	2945
The film is full of charm .	0.750000	1	3	2946
The movie is well crafted , and well executed .	0.888890	1	4	2947
If you 're paying attention , the `` big twists '' are pretty easy to guess - but that does n't make the movie any less entertaining .	0.569440	1	2	2948
One of those unassuming films that sneaks up on you and stays with you long after you have left the theatre .	0.791670	1	3	2949
... Pray does n't have a passion for the material .	0.305560	0	1	2950
He nonetheless appreciates the art and reveals a music scene that transcends culture and race .	0.819440	1	4	2951
The one-liners are snappy , the situations volatile and the comic opportunities richly rewarded .	0.819440	1	4	2952
It 's anchored by splendid performances from an honored screen veteran and a sparkling newcomer who instantly transform themselves into a believable mother\/daughter pair .	0.875000	1	4	2953
Fathers and sons , and the uneasy bonds between them , rarely have received such a sophisticated and unsentimental treatment on the big screen as they do in this marvelous film .	0.833330	1	4	2954
This sci-fi techno-sex thriller starts out bizarre and just keeps getting weirder .	0.444440	0	2	2955
Last Orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced .	0.833330	1	4	2956
It 's affecting , amusing , sad and reflective .	0.777780	1	3	2957
A slight but sweet film .	0.666670	1	3	2958
Writer\/director Walter Hill is in his hypermasculine element here , once again able to inject some real vitality and even art into a pulpy concept that , in many other hands would be completely forgettable .	0.763890	1	3	2959
It is a happy , heady jumble of thought and storytelling , an insane comic undertaking that ultimately coheres into a sane and breathtakingly creative film .	0.902780	1	4	2960
This new Time Machine is hardly perfect ... yet it proves surprisingly serviceable .	0.569440	1	2	2961
Even at its worst , it 's not half-bad .	0.652780	1	3	2962
Almost everyone growing up believes their family must look like `` The Addams Family '' to everyone looking in ... `` My Big Fat Greek Wedding '' comes from the heart ...	0.611110	1	3	2963
Once folks started hanging out at the barbershop , they never wanted to leave .	0.763890	1	3	2964
Chances are you wo n't , either .	0.541670	1	2	2965
George Lucas returns as a visionary with a tale full of nuance and character dimension .	0.722220	1	3	2966
Can be viewed as pure composition and form -- film as music	0.625000	1	3	2967
An extraordinary dramatic experience .	0.930560	1	4	2968
Every individual will see the movie through the prism of his or her own beliefs and prejudices , but the one thing most will take away is the sense that peace is possible .	0.902780	1	4	2969
